Stock_Actual,Consumo_Diario,Lead_Time,Ocupacion_Albergue,Pacientes_Alto_Riesgo,Ocupacion_Total,Punto_Reorden,Ratio_Stock,Necesita_Reabastecimiento
572,22.08,7,0.96,0,1,154.56,3.700828157349896,1
506,12.81,3,0.37,0,1,38.43,13.16679677335415,0
384,10.86,13,0.0,0,1,141.18,2.719932001699957,1
651,27.46,2,4.15,0,1,54.92,11.85360524399126,0
416,20.9,12,3.48,0,1,250.8,1.6586921850079746,2
483,21.32,11,0.0,0,1,234.52,2.0595258400136447,2
404,25.95,6,0.0,0,1,155.7,2.594733461785485,1
265,19.14,5,1.0,0,1,95.7,2.7690700104493207,1
444,16.97,12,0.0,0,1,203.64,2.180318208603418,2
399,14.08,7,5.21,0,1,98.56,4.048295454545454,1
505,22.82,14,2.19,0,1,319.48,1.580693627144109,2
340,20.83,5,0.0,0,1,104.15,3.264522323571772,1
333,27.85,14,0.0,0,1,389.9,0.8540651449089509,2
278,22.66,7,0.0,0,1,158.62,1.7526163157231118,2
482,22.06,7,0.72,0,1,154.42,3.121357337132496,1
307,15.5,14,3.79,0,1,217.0,1.4147465437788018,2
643,27.05,2,0.0,0,1,54.1,11.88539741219963,0
376,19.97,10,0.0,0,1,199.7,1.882824236354532,2
319,14.39,6,3.57,0,1,86.34,3.69469539031735,1
413,11.68,6,1.17,0,1,70.08,5.893264840182648,0
387,14.23,9,0.86,0,1,128.07,3.021784961349262,1
311,17.98,5,0.97,0,1,89.9,3.459399332591768,1
474,16.67,3,0.3,0,1,50.010000000000005,9.478104379124174,0
582,14.31,7,0.0,0,1,100.17,5.810122791254867,0
443,19.02,6,0.0,0,1,114.12,3.881878724150017,1
235,22.71,4,2.04,0,1,90.84,2.586966094231616,1
589,10.47,10,0.03,0,1,104.7,5.625596943648519,0
359,18.14,12,0.0,0,1,217.68,1.6492098493201028,2
431,20.75,14,0.0,0,1,290.5,1.4836488812392428,2
438,17.36,4,0.08,0,1,69.44,6.307603686635945,0
381,22.41,3,0.91,0,1,67.23,5.667112896028558,0
510,21.72,2,0.0,0,1,43.44,11.740331491712707,0
358,22.17,13,3.92,0,1,288.21000000000004,1.2421498213108495,2
597,14.8,8,3.25,0,1,118.4,5.04222972972973,1
550,26.21,10,0.98,0,1,262.1,2.098435711560473,2
359,23.48,10,0.0,0,1,234.8,1.528960817717206,2
505,18.74,10,0.55,0,1,187.4,2.6947705442902885,1
461,9.14,12,0.07,0,1,109.68,4.203136396790663,1
652,27.59,2,0.42,0,1,55.18,11.815875317143892,0
430,17.17,12,1.53,0,1,206.04,2.086973403222675,2
632,26.1,2,0.0,0,1,52.2,12.10727969348659,0
537,26.79,11,1.57,0,1,294.69,1.8222538939224269,2
422,30.4,14,1.01,0,1,425.6,0.9915413533834588,2
271,19.22,8,1.27,0,1,153.76,1.762486992715921,2
229,13.21,3,4.75,0,1,39.63,5.778450668685339,0
714,24.25,6,2.92,0,1,145.5,4.907216494845361,1
419,28.65,7,2.42,0,1,200.55,2.0892545499875346,2
205,13.06,7,0.53,0,1,91.42,2.242397724786698,1
633,28.45,9,0.0,0,1,256.05,2.472173403632103,1
244,10.54,12,5.55,0,1,126.48,1.929158760278305,2
563,28.45,2,1.21,0,1,56.9,9.894551845342706,0
362,24.6,4,1.34,0,1,98.4,3.678861788617886,1
809,25.94,5,0.0,0,1,129.70000000000002,6.237471087124132,0
665,27.33,4,0.4,0,1,109.32,6.083058909623126,0
374,13.66,11,0.93,0,1,150.26,2.489019033674964,1
585,19.42,3,0.05,0,1,58.260000000000005,10.041194644696189,0
344,29.57,14,0.0,0,1,413.98,0.8309580172955214,2
531,22.26,14,0.0,1,1,311.64000000000004,1.7038891028109355,2
354,24.21,8,0.0,0,1,193.68,1.8277571251548943,2
244,19.93,12,3.32,0,1,239.16,1.0202374979093494,2
649,16.66,3,4.41,0,1,49.98,12.985194077631052,0
460,20.05,11,1.85,0,1,220.55,2.0856948537746542,2
268,19.42,12,0.71,0,1,233.04,1.15001716443529,2
481,22.35,5,0.0,0,1,111.75,4.3042505592841165,1
357,18.13,2,0.0,0,1,36.26,9.845559845559846,0
462,19.52,7,2.72,0,1,136.64,3.3811475409836067,1
444,10.51,3,0.0,0,1,31.53,14.081826831588964,0
420,19.42,10,0.4,0,1,194.2,2.1627188465499483,2
319,24.04,4,1.14,0,1,96.16,3.31738768718802,1
432,12.49,12,0.32,0,1,149.88,2.8823058446757406,1
353,22.22,4,0.69,0,1,88.88,3.971647164716472,1
682,24.19,2,2.09,0,1,48.38,14.09673418768086,0
532,17.82,10,3.21,0,1,178.2,2.985409652076319,1
408,19.72,13,0.0,0,1,256.36,1.5915119363395225,2
345,18.44,6,2.83,0,1,110.64,3.11822125813449,1
674,15.45,5,0.0,0,1,77.25,8.724919093851133,0
709,15.37,8,0.0,0,1,122.96,5.766102797657776,0
389,22.81,9,0.0,0,1,205.29,1.894880413074188,2
415,18.44,13,0.66,0,1,239.72000000000003,1.7311863841148003,2
572,24.05,6,0.0,0,1,144.3,3.963963963963963,1
275,19.86,4,0.1,0,1,79.44,3.461732124874119,1
551,15.76,11,0.0,0,1,173.36,3.178357175819105,1
356,22.1,2,0.46,0,1,44.2,8.054298642533936,0
416,14.13,7,0.01,0,1,98.91,4.205843696289556,1
363,30.05,14,0.0,0,1,420.7,0.8628476348942239,2
587,24.73,2,0.0,0,1,49.46,11.868176304084107,0
317,14.49,13,1.34,0,1,188.37,1.682858204597335,2
474,22.64,10,0.39,0,1,226.4,2.0936395759717312,2
582,9.6,10,0.88,0,1,96.0,6.0625,0
332,28.8,6,2.48,0,1,172.8,1.9212962962962965,2
716,19.21,2,0.0,0,1,38.42,18.636127017178552,0
474,17.96,2,0.0,0,1,35.92,13.195991091314031,0
569,18.01,7,1.31,0,1,126.07,4.513365590544935,1
556,20.32,13,0.8,0,1,264.16,2.1047849788007267,2
541,17.59,5,2.53,0,1,87.95,6.151222285389426,0
404,22.67,4,2.7,0,1,90.68,4.455227172474636,1
410,18.1,10,0.0,0,1,181.0,2.265193370165746,1
585,20.33,2,0.0,0,1,40.66,14.387604525332025,0
610,16.71,8,0.0,0,1,133.68,4.563135846798324,1
290,22.64,7,0.17,0,1,158.48000000000002,1.829883897021706,2
295,33.33,14,0.74,0,1,466.62,0.6322060777506322,2
576,23.73,5,0.0,0,1,118.65,4.854614412136536,1
417,15.35,14,0.69,0,1,214.9,1.9404374127501165,2
316,20.22,7,1.89,0,1,141.54,2.2325844284301257,1
612,21.85,5,3.84,0,1,109.25,5.60183066361556,0
494,19.36,10,1.77,0,1,193.6,2.551652892561984,1
632,17.47,10,0.49,0,1,174.7,3.61763022323984,1
624,22.34,13,1.62,0,1,290.42,2.1486123545210383,2
383,18.39,14,0.0,0,1,257.46000000000004,1.4876097257826455,2
350,19.92,12,2.19,0,1,239.04,1.4641900937081658,2
402,8.73,13,0.0,0,1,113.49,3.542162305048903,1
543,25.28,8,0.0,0,1,202.24,2.6849287974683542,1
274,25.45,8,3.82,0,1,203.6,1.345776031434185,2
511,17.55,12,2.09,0,1,210.6,2.4264007597340926,1
478,25.55,2,1.75,0,1,51.1,9.354207436399218,0
528,23.2,2,0.85,0,1,46.4,11.379310344827587,0
771,14.54,13,0.0,0,1,189.02,4.07893344619617,1
516,19.28,12,0.0,0,1,231.36,2.230290456431536,1
543,29.68,3,0.0,0,1,89.03999999999999,6.098382749326146,0
571,13.36,2,0.0,0,1,26.72,21.36976047904192,0
501,19.71,7,4.9,0,1,137.97,3.6312241791693847,1
514,21.76,10,3.67,0,1,217.6,2.362132352941176,1
659,8.6,13,0.88,0,1,111.8,5.894454382826476,0
285,20.35,4,0.0,0,1,81.4,3.501228501228501,1
366,23.19,14,0.0,0,1,324.66,1.127333210127518,2
471,25.78,13,1.16,0,1,335.14,1.405382825088023,2
458,26.28,8,0.09,0,1,210.24,2.178462709284627,2
556,22.3,12,0.81,0,1,267.6,2.0777279521674137,2
645,19.76,12,1.49,0,1,237.12,2.720141700404858,1
360,18.05,13,0.0,0,1,234.65,1.5341998721500103,2
450,27.37,7,0.28,0,1,191.59,2.348765593193799,1
621,18.12,4,1.5,0,1,72.48,8.567880794701987,0
403,14.53,7,0.0,0,1,101.71,3.962245600235965,1
368,20.1,2,4.62,0,1,40.2,9.154228855721392,0
496,18.14,9,0.0,0,1,163.26,3.038098738208992,1
482,21.46,7,2.39,0,1,150.22,3.208627346558381,1
393,16.39,6,0.0,0,1,98.34,3.99633923123856,1
562,16.05,7,0.0,0,1,112.35,5.002225189141076,1
321,19.85,5,3.23,0,1,99.25,3.234256926952141,1
543,21.06,2,1.57,0,1,42.12,12.891737891737892,0
614,18.53,8,1.93,0,1,148.24,4.141932002158661,1
465,19.63,8,1.31,0,1,157.04,2.961029037187978,1
378,18.89,2,0.0,0,1,37.78,10.00529380624669,0
546,23.89,9,2.16,0,1,215.01,2.5394167713129625,1
700,17.95,5,3.41,1,1,89.75,7.799442896935933,0
416,23.04,11,0.0,0,1,253.44,1.6414141414141414,2
892,18.2,10,3.32,0,1,182.0,4.9010989010989015,1
564,28.6,8,0.0,0,1,228.8,2.465034965034965,1
366,15.12,10,2.56,0,1,151.2,2.420634920634921,1
533,11.58,4,0.77,0,1,46.32,11.506908462867012,0
478,24.78,5,0.0,0,1,123.9,3.8579499596448743,1
327,29.06,5,0.0,0,1,145.29999999999998,2.2505161734342742,1
242,15.74,2,1.75,0,1,31.48,7.687420584498094,0
523,23.82,9,0.0,0,1,214.38,2.439593245638586,1
323,9.78,7,2.33,0,1,68.46,4.718083552439381,1
488,24.67,9,0.0,0,1,222.03000000000003,2.1979011845246137,2
379,29.18,14,0.68,0,1,408.52,0.9277391559776756,2
405,14.16,6,0.76,0,1,84.96000000000001,4.766949152542373,1
287,25.68,7,0.0,0,1,179.76,1.5965732087227416,2
422,6.69,14,0.0,0,1,93.66,4.505658765748452,1
921,18.26,10,1.41,0,1,182.6,5.04381161007667,1
373,17.26,4,4.74,0,1,69.04,5.402665121668598,1
629,29.97,10,2.42,0,1,299.7,2.098765432098765,2
527,23.38,10,3.38,0,1,233.8,2.2540633019674936,1
639,13.35,4,1.13,0,1,53.4,11.96629213483146,0
476,25.7,5,0.0,0,1,128.5,3.704280155642024,1
341,14.75,11,0.0,0,1,162.25,2.101694915254237,2
359,25.47,7,0.83,0,1,178.29,2.0135733916652647,2
633,25.4,8,2.57,0,1,203.2,3.1151574803149606,1
407,3.78,9,0.0,0,1,34.02,11.963550852439743,0
670,14.31,2,3.61,0,1,28.62,23.410202655485676,0
498,20.71,13,1.48,0,1,269.23,1.8497195706273448,2
321,15.58,10,1.86,0,1,155.8,2.060333761232349,2
649,24.14,3,1.7,0,1,72.42,8.96161281413974,0
189,27.33,5,0.0,0,1,136.64999999999998,1.3830954994511528,2
344,16.56,3,2.63,0,1,49.67999999999999,6.924315619967795,0
605,12.53,14,0.0,0,1,175.42,3.448865579751454,1
417,28.19,4,1.43,0,1,112.76,3.6981199006739978,1
295,25.22,4,0.0,0,1,100.88,2.9242664551942905,1
570,19.68,3,0.0,0,1,59.04,9.654471544715449,0
570,24.28,8,3.71,0,1,194.24,2.934514003294893,1
496,16.86,13,1.24,0,1,219.18,2.2629801989232594,1
425,28.32,6,2.46,0,1,169.92000000000002,2.501177024482109,1
361,24.64,9,0.0,0,1,221.76,1.627886002886003,2
504,20.6,14,0.0,0,1,288.40000000000003,1.7475728155339805,2
616,16.66,4,0.13,0,1,66.64,9.243697478991596,0
437,22.89,2,0.54,0,1,45.78,9.545653123634777,0
558,18.71,3,4.84,0,1,56.13,9.941207910208444,0
286,13.71,9,2.02,0,1,123.39,2.3178539589918143,1
549,16.26,7,0.58,0,1,113.82,4.823405376910912,1
282,17.76,12,0.0,0,1,213.12,1.3231981981981982,2
551,23.22,7,0.06,0,1,162.54,3.389934785283623,1
251,21.46,10,3.81,0,1,214.6,1.1696178937558246,2
415,16.34,8,2.06,0,1,130.72,3.1747246022031823,1
407,17.05,2,0.92,0,1,34.1,11.935483870967742,0
644,17.4,4,2.59,0,1,69.6,9.252873563218392,0
278,8.24,7,0.0,0,1,57.68,4.819694868238558,1
433,17.47,4,3.43,0,1,69.88,6.1963365769891245,0
333,23.17,11,0.41,0,1,254.87,1.306548436457802,2
635,18.52,12,0.92,0,1,222.24,2.857271418286537,1
554,15.69,12,0.0,0,1,188.28,2.9424261737837263,1
249,15.41,7,2.43,0,1,107.87,2.3083341058681746,1
712,17.47,13,1.83,0,1,227.11,3.135044691999472,1
341,16.85,11,0.38,0,1,185.35,1.839762611275964,2
562,22.02,14,0.0,0,1,308.28,1.823018035552096,2
728,24.73,5,0.0,0,1,123.65,5.887585928022644,0
532,23.71,14,2.84,0,1,331.94,1.6026992830029525,2
258,13.7,7,0.0,0,1,95.9,2.690302398331596,1
550,11.3,4,0.0,0,1,45.2,12.168141592920351,0
418,15.87,9,0.0,0,1,142.82999999999998,2.926556045648673,1
609,16.36,3,0.0,0,1,49.08,12.408312958435207,0
422,20.66,9,0.59,0,1,185.94,2.2695493169839733,1
305,15.83,13,1.51,0,1,205.79,1.4820933961805725,2
674,19.14,2,1.7,0,1,38.28,17.607105538140022,0
436,15.12,13,0.03,0,1,196.56,2.218152218152218,1
260,19.91,10,0.0,0,1,199.1,1.305876443997991,2
408,17.62,13,0.0,0,1,229.06,1.7811927006024622,2
579,14.04,11,0.55,0,1,154.44,3.749028749028749,1
277,17.22,10,1.19,0,1,172.2,1.6085946573751453,2
557,20.87,11,0.0,0,1,229.57,2.4262752101755454,1
510,14.69,4,0.0,0,1,58.76,8.679373723621511,0
335,24.49,5,0.0,0,1,122.45,2.735810534912209,1
609,16.54,7,2.66,0,1,115.78,5.259975816203144,1
572,32.92,5,0.79,0,1,164.60000000000002,3.4750911300121503,1
342,20.97,14,4.22,0,1,293.58,1.1649294911097487,2
540,18.2,9,0.0,0,1,163.79999999999998,3.296703296703297,1
369,19.79,10,1.14,0,1,197.9,1.864578069732188,2
462,23.3,5,1.73,0,1,116.5,3.9656652360515023,1
414,24.27,8,0.0,0,1,194.16,2.1322620519159456,2
598,19.29,4,1.96,0,1,77.16,7.750129600829446,0
356,21.35,3,1.0,0,1,64.05000000000001,5.558157689305229,1
677,28.56,11,0.0,0,1,314.16,2.1549528902470083,2
271,25.06,9,0.81,0,1,225.54,1.2015606987674028,2
457,15.1,13,2.6,0,1,196.3,2.328069281711666,1
517,24.37,8,0.0,0,1,194.96,2.651826015592942,1
542,25.77,7,0.01,0,1,180.39,3.004601141970176,1
512,15.09,2,0.0,0,1,30.18,16.964877402253148,0
306,21.48,11,2.35,0,1,236.28,1.2950736414423565,2
313,22.32,5,0.76,0,1,111.6,2.8046594982078856,1
353,22.14,9,2.4,0,1,199.26,1.771554752584563,2
744,19.54,9,1.44,0,1,175.86,4.230638007505971,1
247,31.32,4,3.61,0,1,125.28,1.9715836526181356,2
361,26.66,9,0.75,0,1,239.94,1.5045428023672585,2
458,26.57,10,0.0,0,1,265.7,1.7237485886337975,2
549,21.61,3,0.28,0,1,64.83,8.468301712170291,0
244,22.91,14,1.59,0,1,320.74,0.7607407869302238,2
388,15.45,4,0.0,0,1,61.8,6.27831715210356,0
612,16.77,14,0.0,0,1,234.78,2.606695629951444,1
318,11.27,14,1.24,0,1,157.78,2.0154645709215364,2
616,18.47,9,0.0,0,1,166.23,3.705708957468568,1
385,19.25,13,0.0,0,1,250.25,1.5384615384615383,2
419,26.58,14,0.0,0,1,372.12,1.1259808663871869,2
501,21.65,3,0.0,0,1,64.94999999999999,7.713625866050809,0
527,25.5,14,0.0,0,1,357.0,1.4761904761904765,2
505,21.84,4,0.0,0,1,87.36,5.780677655677656,0
596,20.21,10,0.07,0,1,202.1,2.949035131123206,1
595,14.02,9,0.0,0,1,126.18,4.715485813916628,1
711,21.85,12,0.0,0,1,262.20000000000005,2.7116704805491985,1
469,15.96,10,1.43,0,1,159.60000000000002,2.9385964912280698,1
359,22.08,10,2.26,0,1,220.8,1.6259057971014494,2
420,14.96,3,3.71,0,1,44.88,9.358288770053475,0
547,17.12,4,0.0,0,1,68.48,7.987733644859812,0
242,19.32,12,0.69,0,1,231.84,1.043823326432022,2
416,13.43,5,1.86,0,1,67.15,6.195085629188384,0
484,23.32,11,1.35,0,1,256.52,1.8867924528301887,2
694,22.18,4,0.0,0,1,88.72,7.822362488728585,0
558,21.46,3,0.04,0,1,64.38,8.667287977632807,0
289,23.56,12,0.63,0,1,282.72,1.0222127900396152,2
316,20.1,3,0.35,0,1,60.3,5.240464344941956,1
368,18.41,10,2.65,0,1,184.1,1.9989136338946225,2
549,17.36,13,1.68,0,1,225.68,2.432647997164126,1
385,18.12,8,0.0,0,1,144.96,2.655905077262693,1
493,16.93,7,2.38,0,1,118.51,4.1599864990296185,1
362,26.57,12,1.3,0,1,318.84000000000003,1.1353657006649105,2
523,15.5,6,1.43,0,1,93.0,5.623655913978495,0
292,10.22,5,0.58,0,1,51.1,5.714285714285714,0
531,21.3,9,0.0,0,1,191.7,2.769953051643192,1
249,13.44,9,3.71,0,1,120.96,2.058531746031746,2
708,17.79,7,0.0,0,1,124.53,5.685377017586124,0
342,21.22,11,0.0,0,1,233.42,1.4651700796846887,2
615,22.65,4,0.72,0,1,90.6,6.788079470198676,0
588,24.9,12,0.0,0,1,298.79999999999995,1.9678714859437756,2
383,15.27,9,0.0,0,1,137.43,2.7868733173251834,1
464,18.26,2,0.0,0,1,36.52,12.705366922234392,0
299,18.0,3,1.07,0,1,54.0,5.537037037037037,1
625,27.77,10,2.9,0,1,277.7,2.250630176449406,1
604,21.58,12,1.03,0,1,258.96,2.33240654927402,1
397,11.96,11,3.7,0,1,131.56,3.01763453937367,1
374,21.13,14,0.03,0,1,295.82,1.2642823338516669,2
508,17.59,4,0.0,0,1,70.36,7.220011370096646,0
580,35.99,6,0.0,0,1,215.94,2.6859312772066315,1
605,26.02,9,0.23,0,1,234.18,2.583482791015458,1
421,19.44,3,0.54,0,1,58.32000000000001,7.218792866941014,0
560,14.51,6,2.22,0,1,87.06,6.432345508844475,0
298,14.5,4,1.61,0,1,58.0,5.137931034482759,1
570,26.82,5,0.19,0,1,134.1,4.250559284116331,1
485,21.9,5,0.0,0,1,109.5,4.429223744292237,1
388,22.94,10,2.29,0,1,229.4,1.6913687881429815,2
424,22.83,10,0.0,0,1,228.3,1.8572054314498467,2
467,28.87,8,0.0,0,1,230.96,2.021995150675441,2
300,27.4,7,0.0,0,1,191.8,1.5641293013555788,2
699,24.98,5,0.0,0,1,124.9,5.596477181745396,1
673,32.16,10,0.0,0,1,321.6,2.092661691542289,2
521,15.65,6,1.38,0,1,93.9,5.548455804046858,1
433,28.26,12,0.0,0,1,339.12,1.276834158999764,2
348,24.95,7,2.22,0,1,174.65,1.992556541654738,2
499,25.8,5,2.31,0,1,129.0,3.868217054263566,1
584,12.49,5,0.0,0,1,62.45,9.351481184947955,0
461,22.42,9,3.77,0,1,201.78000000000003,2.284666468430964,1
324,26.24,14,4.56,0,1,367.36,0.8819686411149826,2
210,18.37,5,0.0,0,1,91.85,2.2863364180729446,1
448,22.61,7,0.0,0,1,158.26999999999998,2.830605926581159,1
513,19.28,9,4.22,0,1,173.52,2.9564315352697093,1
427,25.69,14,0.0,0,1,359.66,1.1872323861424678,2
420,19.65,3,0.0,0,1,58.95,7.12468193384224,0
384,12.61,10,6.27,0,1,126.1,3.0452022204599527,1
432,21.5,9,1.63,0,1,193.5,2.232558139534884,1
445,26.11,4,0.74,0,1,104.44,4.260819609345079,1
666,24.23,3,3.16,0,1,72.69,9.162195625257946,0
540,15.52,4,1.35,0,1,62.08,8.698453608247423,0
642,14.08,11,0.0,0,1,154.88,4.145144628099174,1
489,23.35,3,0.0,0,1,70.05000000000001,6.9807280513918615,0
566,11.47,12,3.61,0,1,137.64,4.112176692821854,1
293,14.04,7,0.0,0,1,98.28,2.981277981277981,1
312,40.53,5,0.64,0,1,202.65,1.53960029607698,2
576,30.49,10,0.0,0,1,304.9,1.8891439816333224,2
424,16.6,11,0.0,0,1,182.6,2.3220153340635266,1
424,27.97,6,2.42,0,1,167.82,2.5265165057800023,1
258,22.78,4,0.0,0,1,91.12,2.8314310798946445,1
679,27.09,2,0.0,0,1,54.18,12.532299741602069,0
640,24.86,5,0.05,0,1,124.3,5.148833467417538,1
447,12.59,4,0.0,0,1,50.36,8.876092136616363,0
577,21.14,2,0.0,0,1,42.28,13.647114474929044,0
423,18.56,5,0.48,0,1,92.8,4.558189655172414,1
440,8.58,14,1.74,0,1,120.12,3.663003663003663,1
636,19.63,12,2.0,0,1,235.56,2.699949057564952,1
380,22.98,8,0.0,0,1,183.84,2.067014795474325,2
688,10.77,14,3.52,0,1,150.78,4.562939381880886,1
275,22.67,5,0.7,0,1,113.35,2.4261138067931185,1
416,15.73,14,0.0,0,1,220.22,1.8890200708382527,2
498,22.68,7,1.79,0,1,158.76,3.1368102796674227,1
522,20.89,3,1.72,0,1,62.67,8.329344183820009,0
411,22.42,8,1.47,0,1,179.36,2.2914808206958077,1
423,14.84,10,0.0,0,1,148.4,2.850404312668464,1
541,13.94,10,1.96,0,1,139.4,3.8809182209469153,1
499,25.92,13,1.94,0,1,336.96000000000004,1.4808879392212724,2
594,9.39,12,1.5,0,1,112.68,5.271565495207668,1
445,25.76,4,0.0,0,1,103.04,4.318711180124224,1
426,16.73,8,0.0,0,1,133.84,3.182904961147639,1
632,21.88,8,0.0,0,1,175.04,3.610603290676417,1
382,27.97,5,0.88,0,1,139.85,2.7314980336074366,1
309,18.61,14,0.91,0,1,260.54,1.185998311199816,2
476,24.27,10,4.62,0,1,242.7,1.9612690564482904,2
271,12.02,14,0.0,0,1,168.28,1.6104112193962443,2
412,12.89,6,0.33,0,1,77.34,5.327126971812775,1
430,25.69,11,3.7,0,1,282.59000000000003,1.5216391238189602,2
415,23.34,2,0.57,0,1,46.68,8.89031705227078,0
635,17.14,14,0.0,0,1,239.96,2.6462743790631773,1
421,27.32,4,0.1,0,1,109.28,3.852489019033675,1
487,24.33,13,0.33,0,1,316.29,1.5397262006386545,2
509,17.18,11,0.0,0,1,188.98,2.693406709704731,1
286,16.65,2,0.0,0,1,33.3,8.588588588588589,0
328,16.5,10,3.45,0,1,165.0,1.987878787878788,2
693,19.3,3,0.0,0,1,57.900000000000006,11.968911917098444,0
663,17.89,2,0.0,1,1,35.78,18.52990497484628,0
462,12.39,5,0.0,0,1,61.95,7.4576271186440675,0
259,25.05,7,0.0,0,1,175.35,1.477045908183633,2
336,22.45,10,3.03,0,1,224.5,1.4966592427616927,2
570,24.52,4,0.0,0,1,98.08,5.811582381729201,0
473,16.68,13,0.0,0,1,216.84,2.1813318575908505,2
338,32.0,11,3.33,0,1,352.0,0.9602272727272728,2
526,16.57,2,1.06,0,1,33.14,15.872057936028968,0
506,9.28,4,1.07,0,1,37.12,13.63146551724138,0
539,28.12,12,0.0,0,1,337.44,1.597321005215742,2
245,13.64,9,2.62,0,1,122.76,1.995764092538286,2
243,21.92,3,0.0,0,1,65.76,3.6952554744525545,1
482,19.22,8,1.42,1,1,153.76,3.1347554630593133,1
399,25.43,7,0.0,0,1,178.01,2.2414471097129374,1
492,11.43,13,3.45,0,1,148.59,3.3111245709670905,1
618,19.41,5,0.0,0,1,97.05,6.367851622874807,0
246,26.76,11,0.0,0,1,294.36,0.8357113738279657,2
274,21.77,13,2.37,0,1,283.01,0.9681636691282994,2
740,12.22,13,0.0,0,1,158.86,4.658189600906458,1
429,20.47,7,4.47,0,1,143.29,2.99392839695722,1
682,16.96,3,1.2,0,1,50.88,13.404088050314463,0
609,6.24,11,1.54,0,1,68.64,8.872377622377622,0
483,22.33,8,3.01,0,1,178.64,2.703761755485893,1
826,20.96,14,3.27,0,1,293.44,2.814885496183206,1
657,13.75,9,0.0,0,1,123.75,5.3090909090909095,1
443,14.33,10,0.67,0,1,143.3,3.091416608513608,1
405,19.46,10,1.68,0,1,194.6,2.081192189105858,2
554,22.08,7,1.54,0,1,154.56,3.584368530020704,1
567,23.12,11,1.06,0,1,254.32,2.229474677571563,1
486,17.9,8,2.96,0,1,143.2,3.3938547486033523,1
656,22.59,6,0.0,0,1,135.54,4.839899660616792,1
