Fecha,Stock_Total,Consumo_Total,Ocupacion_Total,Pacientes_Alto_Riesgo,Alertas_Criticas,Tasa_Alto_Riesgo_Global
2024-07-02,117773,4941,77,14,0,0.15
2024-07-03,118407,5008,78,14,0,0.15
2024-07-04,117930,4909,77,14,0,0.15
2024-07-05,118543,4766,74,13,0,0.15
2024-07-06,117203,4781,73,13,0,0.15
2024-07-07,116601,4683,73,13,0,0.15
2024-07-08,116993,4571,76,14,0,0.15
2024-07-09,116369,4570,78,14,0,0.15
2024-07-10,116989,4665,79,14,0,0.15
2024-07-11,117051,4511,78,14,0,0.15
2024-07-12,115041,4550,75,14,0,0.15
2024-07-13,115825,4478,74,13,0,0.15
2024-07-14,115987,4449,74,13,0,0.15
2024-07-15,117840,4443,77,14,0,0.15
2024-07-16,117738,4352,79,14,0,0.15
2024-07-17,116488,4189,80,14,0,0.15
2024-07-18,116584,4202,79,14,0,0.15
2024-07-19,114204,4291,76,14,0,0.15
2024-07-20,114348,4170,75,14,0,0.15
2024-07-21,114656,4169,75,14,0,0.15
2024-07-22,115064,4028,78,14,0,0.15
2024-07-23,115422,4110,80,14,0,0.15
2024-07-24,112999,4111,81,15,0,0.15
2024-07-25,114328,3788,80,14,0,0.15
2024-07-26,114522,4002,77,14,0,0.15
2024-07-27,115903,3806,76,14,0,0.15
2024-07-28,117446,3895,76,14,0,0.15
2024-07-29,117118,3617,79,14,0,0.15
2024-07-30,120181,3952,81,15,0,0.15
2024-07-31,121471,3755,82,15,0,0.15
2024-08-01,120494,3635,81,15,0,0.15
2024-08-02,119859,3751,78,14,0,0.15
2024-08-03,118636,3846,77,14,0,0.15
2024-08-04,119286,3614,77,14,0,0.15
2024-08-05,119598,3510,80,14,0,0.15
2024-08-06,119726,3479,82,15,0,0.15
2024-08-07,119095,3376,83,15,0,0.15
2024-08-08,118500,3387,81,15,0,0.15
2024-08-09,120167,3398,79,14,0,0.15
2024-08-10,120545,3306,78,14,0,0.15
2024-08-11,121139,3338,78,14,0,0.15
2024-08-12,120360,3185,81,15,0,0.15
2024-08-13,120305,3299,83,15,0,0.15
2024-08-14,121209,3184,84,15,0,0.15
2024-08-15,122234,3100,82,15,0,0.15
2024-08-16,120723,3162,80,14,0,0.15
2024-08-17,118055,3205,78,14,0,0.15
2024-08-18,116086,3023,79,14,0,0.15
2024-08-19,116992,3172,82,15,0,0.15
2024-08-20,118684,3117,84,15,0,0.15
2024-08-21,119994,3144,85,15,0,0.15
2024-08-22,119046,3035,83,15,0,0.15
2024-08-23,119194,3215,81,15,0,0.15
2024-08-24,119990,2911,79,14,0,0.15
2024-08-25,118808,2926,80,14,0,0.15
2024-08-26,118656,2754,83,15,0,0.15
2024-08-27,118185,2829,85,15,0,0.15
2024-08-28,118242,2729,86,15,0,0.15
2024-08-29,118966,2808,84,15,0,0.15
2024-08-30,118858,2842,82,15,0,0.15
2024-08-31,118899,2739,80,14,0,0.15
2024-09-01,118296,2676,81,15,0,0.15
2024-09-02,121481,2721,84,15,0,0.15
2024-09-03,121794,2616,86,15,0,0.15
2024-09-04,121073,2760,87,16,0,0.15
2024-09-05,120847,2598,85,15,0,0.15
2024-09-06,121679,2584,83,15,0,0.15
2024-09-07,120602,2575,81,15,0,0.15
2024-09-08,119751,2750,82,15,0,0.15
2024-09-09,120151,2693,85,15,0,0.15
2024-09-10,119382,2717,87,16,0,0.15
2024-09-11,119133,2603,88,16,0,0.15
2024-09-12,118505,2509,86,15,0,0.15
2024-09-13,117677,2478,84,15,0,0.15
2024-09-14,116714,2576,82,15,0,0.15
2024-09-15,115473,2432,83,15,0,0.15
2024-09-16,113997,2620,86,15,0,0.15
2024-09-17,114388,2445,88,16,0,0.15
2024-09-18,113832,2331,89,16,0,0.15
2024-09-19,115266,2466,87,16,0,0.15
2024-09-20,115635,2442,85,15,0,0.15
2024-09-21,116415,2439,83,15,0,0.15
2024-09-22,115976,2587,84,15,0,0.15
2024-09-23,116905,2451,86,15,0,0.15
2024-09-24,117145,2631,89,16,0,0.15
2024-09-25,116562,2390,90,16,0,0.15
2024-09-26,118731,2343,88,16,0,0.15
2024-09-27,118595,2500,86,15,0,0.15
2024-09-28,118118,2476,84,15,0,0.15
2024-09-29,118702,2466,85,15,0,0.15
2024-09-30,119583,2429,87,16,0,0.15
2024-10-01,119265,2399,90,16,0,0.15
2024-10-02,119045,2298,91,16,0,0.15
2024-10-03,117852,2294,89,16,0,0.15
2024-10-04,118208,2469,87,16,0,0.15
2024-10-05,118663,2404,85,15,0,0.15
2024-10-06,118118,2578,86,15,0,0.15
2024-10-07,118165,2404,88,16,0,0.15
2024-10-08,118416,2530,91,16,0,0.15
2024-10-09,117834,2628,92,17,0,0.15
2024-10-10,118884,2409,90,16,0,0.15
2024-10-11,118811,2480,88,16,0,0.15
2024-10-12,120174,2457,86,15,0,0.15
2024-10-13,120237,2580,87,16,0,0.15
2024-10-14,120728,2670,89,16,0,0.15
2024-10-15,121098,2509,92,17,0,0.15
2024-10-16,121053,2425,93,17,0,0.15
2024-10-17,119889,2694,91,16,0,0.15
2024-10-18,120063,2551,89,16,0,0.15
2024-10-19,119534,2683,87,16,0,0.15
2024-10-20,119374,2575,88,16,0,0.15
2024-10-21,119937,2603,90,16,0,0.15
2024-10-22,119083,2419,93,17,0,0.15
2024-10-23,118753,2637,93,17,0,0.15
2024-10-24,118986,2711,92,17,0,0.15
2024-10-25,119271,2638,90,16,0,0.15
2024-10-26,119982,2523,88,16,0,0.15
2024-10-27,118071,2814,89,16,0,0.15
2024-10-28,117599,2702,91,16,0,0.15
2024-10-29,117389,2812,94,17,0,0.15
2024-10-30,116069,2766,94,17,0,0.15
2024-10-31,116280,2937,93,17,0,0.15
2024-11-01,116438,2949,91,16,0,0.15
2024-11-02,115637,2814,89,16,0,0.15
2024-11-03,115633,2936,90,16,0,0.15
2024-11-04,115865,2855,92,17,0,0.15
2024-11-05,115477,2825,95,17,0,0.15
2024-11-06,116030,2860,95,17,0,0.15
2024-11-07,116103,3106,94,17,0,0.15
2024-11-08,117683,3149,91,16,0,0.15
2024-11-09,117944,3053,90,16,0,0.15
2024-11-10,119989,3149,91,16,0,0.15
2024-11-11,119953,3134,93,17,0,0.15
2024-11-12,118715,3021,96,17,0,0.15
2024-11-13,118518,3063,96,17,0,0.15
2024-11-14,118788,3217,95,17,0,0.15
2024-11-15,119746,3272,92,17,0,0.15
2024-11-16,120534,3174,91,16,0,0.15
2024-11-17,119818,3203,92,17,0,0.15
2024-11-18,118828,3377,94,17,0,0.15
2024-11-19,117722,3334,97,17,0,0.15
2024-11-20,117194,3451,97,17,0,0.15
2024-11-21,117414,3503,96,17,0,0.15
2024-11-22,120119,3482,93,17,0,0.15
2024-11-23,120514,3603,92,17,0,0.15
2024-11-24,119138,3574,93,17,0,0.15
2024-11-25,119643,3597,95,17,0,0.15
2024-11-26,121138,3547,98,18,0,0.15
2024-11-27,120880,3497,98,18,0,0.15
2024-11-28,119810,3667,97,17,0,0.15
2024-11-29,120954,3836,94,17,0,0.15
2024-11-30,121009,3857,93,17,0,0.15
2024-12-01,120378,3809,94,17,0,0.15
2024-12-02,118834,3707,96,17,0,0.15
2024-12-03,119004,3877,99,18,0,0.15
2024-12-04,118320,3951,99,18,0,0.15
2024-12-05,117224,3990,98,18,0,0.15
2024-12-06,115669,3987,95,17,0,0.15
2024-12-07,114662,4077,94,17,0,0.15
2024-12-08,115693,4208,95,17,0,0.15
2024-12-09,116606,4202,97,17,0,0.15
2024-12-10,114923,4133,99,18,0,0.15
2024-12-11,116465,4021,100,18,0,0.15
2024-12-12,115860,4271,99,18,0,0.15
2024-12-13,117676,4394,96,17,0,0.15
2024-12-14,118976,4210,95,17,0,0.15
2024-12-15,119092,4447,95,17,0,0.15
2024-12-16,118910,4426,98,18,0,0.15
2024-12-17,118053,4475,100,18,0,0.15
2024-12-18,116599,4385,100,18,0,0.15
2024-12-19,116667,4526,100,18,0,0.15
2024-12-20,119286,4519,97,17,0,0.15
2024-12-21,117519,4769,96,17,0,0.15
2024-12-22,118953,4541,96,17,0,0.15
2024-12-23,119165,4652,99,18,0,0.15
2024-12-24,119019,4792,100,18,0,0.15
2024-12-25,119000,4909,100,18,0,0.15
2024-12-26,119071,4785,100,18,0,0.15
2024-12-27,116535,4895,98,18,0,0.15
2024-12-28,116495,4944,97,17,0,0.15
2024-12-29,115348,5000,97,17,0,0.15
2024-12-30,114019,5023,100,18,0,0.15
