Fecha,ID_Insumo,Stock_Actual,Consumo_Diario,Lead_Time,Ocupacion_Albergue,Pacientes_Alto_Riesgo,Ocupacion_Total
2024-04-08,alimentos,490,22.1,14,0.0,0,1
2024-04-09,alimentos,455,15.57,14,5.08,0,1
2024-04-10,alimentos,423,18.21,14,0.0,0,1
2024-04-11,alimentos,374,26.6,14,0.0,0,1
2024-04-12,alimentos,794,18.32,14,0.0,0,1
2024-04-13,alimentos,767,23.79,14,0.0,0,1
2024-04-14,alimentos,738,15.43,14,0.46,0,1
2024-04-15,alimentos,710,19.07,14,2.57,0,1
2024-04-16,alimentos,680,15.35,14,0.0,0,1
2024-04-17,alimentos,661,18.4,14,0.8,0,1
2024-04-18,alimentos,640,24.3,14,1.17,0,1
2024-04-19,alimentos,609,11.46,14,0.0,0,1
2024-04-20,alimentos,583,22.27,14,0.0,0,1
2024-04-21,alimentos,556,21.29,14,0.0,0,1
2024-04-22,alimentos,527,17.13,14,3.17,0,1
2024-04-23,alimentos,497,12.87,14,0.0,0,1
2024-04-24,alimentos,471,20.46,14,0.0,0,1
2024-04-25,alimentos,445,17.45,14,1.16,0,1
2024-04-26,alimentos,409,21.26,14,1.74,0,1
2024-04-27,alimentos,370,20.21,14,0.0,0,1
2024-04-28,alimentos,725,28.11,14,1.93,0,1
2024-04-29,alimentos,695,18.9,14,1.44,0,1
2024-04-30,alimentos,674,14.98,14,0.0,0,1
2024-05-01,alimentos,633,21.0,14,0.0,0,1
2024-05-02,alimentos,604,21.2,14,2.03,0,1
2024-05-03,alimentos,570,26.9,14,1.14,0,1
2024-05-04,alimentos,525,24.28,14,0.8,0,1
2024-05-05,alimentos,488,21.88,14,0.0,0,1
2024-05-06,alimentos,459,27.42,14,4.97,0,1
2024-05-07,alimentos,423,14.16,14,0.0,0,1
2024-05-08,alimentos,399,16.9,14,0.0,0,1
2024-05-09,alimentos,378,15.47,14,2.37,0,1
2024-05-10,alimentos,668,18.15,14,0.62,0,1
2024-05-11,alimentos,640,13.22,14,0.83,0,1
2024-05-12,alimentos,611,23.28,14,0.0,0,1
2024-05-13,alimentos,581,18.99,14,0.0,0,1
2024-05-14,alimentos,553,12.75,14,1.22,0,1
2024-05-15,alimentos,535,15.02,14,0.0,0,1
2024-05-16,alimentos,507,21.67,14,4.26,0,1
2024-05-17,alimentos,472,24.29,14,0.0,0,1
2024-05-18,alimentos,447,30.08,14,0.0,0,1
2024-05-19,alimentos,422,34.67,14,0.86,0,1
2024-05-20,alimentos,402,22.17,14,0.0,0,1
2024-05-21,alimentos,374,15.15,14,0.0,0,1
2024-05-22,alimentos,697,9.44,14,0.64,0,1
2024-05-23,alimentos,673,21.44,14,4.54,0,1
2024-05-24,alimentos,652,16.04,14,0.0,0,1
2024-05-25,alimentos,637,18.02,14,0.0,0,1
2024-05-26,alimentos,602,17.04,14,1.61,0,1
2024-05-27,alimentos,567,19.4,14,0.0,0,1
2024-05-28,alimentos,538,25.43,14,0.0,0,1
2024-05-29,alimentos,513,20.89,14,1.75,0,1
2024-05-30,alimentos,496,19.31,14,1.46,0,1
2024-05-31,alimentos,469,14.92,14,0.0,0,1
2024-06-01,alimentos,449,11.73,14,0.0,0,1
2024-06-02,alimentos,429,17.67,14,2.36,0,1
2024-06-03,alimentos,408,19.83,14,0.0,0,1
2024-06-04,alimentos,386,28.94,14,1.06,0,1
2024-06-05,alimentos,367,20.75,14,0.26,0,1
2024-06-06,alimentos,768,25.01,14,1.55,0,1
2024-06-07,alimentos,741,17.6,14,1.01,0,1
2024-06-08,alimentos,725,14.18,14,3.17,0,1
2024-06-09,alimentos,703,15.27,14,1.87,0,1
2024-06-10,alimentos,684,16.47,14,0.0,0,1
2024-06-11,alimentos,660,30.74,14,0.0,0,1
2024-06-12,alimentos,640,15.99,14,0.85,0,1
2024-06-13,alimentos,615,24.29,14,0.0,0,1
2024-06-14,alimentos,588,15.59,14,2.94,0,1
2024-06-15,alimentos,565,24.76,14,1.49,0,1
2024-06-16,alimentos,542,22.02,14,0.0,0,1
2024-06-17,alimentos,516,19.32,14,0.0,0,1
2024-06-18,alimentos,495,19.9,14,0.64,0,1
2024-06-19,alimentos,481,16.83,14,0.0,0,1
2024-06-20,alimentos,456,22.33,14,1.95,0,1
2024-06-21,alimentos,423,17.83,14,1.7,0,1
2024-06-22,alimentos,401,13.97,14,1.37,0,1
2024-06-23,alimentos,379,13.71,14,2.05,0,1
2024-06-24,alimentos,826,20.96,14,3.27,0,1
2024-06-25,alimentos,804,28.0,14,2.25,0,1
2024-06-26,alimentos,785,20.9,14,2.21,0,1
2024-06-27,alimentos,766,19.51,14,0.56,0,1
2024-06-28,alimentos,743,21.53,14,0.0,0,1
2024-06-29,alimentos,722,26.63,14,4.69,0,1
2024-06-30,alimentos,714,21.2,14,1.43,0,1
2024-07-01,alimentos,699,18.05,14,0.0,0,1
2024-07-02,alimentos,671,25.63,14,0.44,0,1
2024-07-03,alimentos,654,22.24,14,0.0,0,1
2024-07-04,alimentos,637,27.78,14,2.26,0,1
2024-07-05,alimentos,620,21.02,14,0.0,0,1
2024-07-06,alimentos,605,13.98,14,0.0,0,1
2024-07-07,alimentos,589,13.26,14,1.77,0,1
2024-07-08,alimentos,564,28.35,14,0.0,0,1
2024-07-09,alimentos,551,28.72,14,0.0,0,1
2024-07-10,alimentos,535,19.2,14,2.41,0,1
2024-07-11,alimentos,511,18.18,14,0.0,0,1
2024-07-12,alimentos,489,27.41,14,0.0,0,1
2024-07-13,alimentos,456,14.56,14,0.76,0,1
2024-07-14,alimentos,433,15.63,14,0.88,0,1
2024-07-15,alimentos,408,23.32,14,0.0,0,1
2024-07-16,alimentos,394,18.13,14,1.33,0,1
2024-07-17,alimentos,365,20.07,14,2.28,0,1
2024-07-18,alimentos,668,19.28,14,0.0,0,1
2024-07-19,alimentos,647,21.79,14,0.74,0,1
2024-07-20,alimentos,637,27.14,14,0.86,0,1
2024-07-21,alimentos,622,20.55,14,2.99,0,1
2024-07-22,alimentos,612,23.32,14,1.02,0,1
2024-07-23,alimentos,585,9.85,14,0.0,0,1
2024-07-24,alimentos,569,19.86,14,5.21,0,1
2024-07-25,alimentos,551,15.88,14,0.81,0,1
2024-07-26,alimentos,539,14.01,14,1.1,0,1
2024-07-27,alimentos,528,15.71,14,0.37,0,1
2024-07-28,alimentos,502,18.43,14,1.13,0,1
2024-07-29,alimentos,491,24.68,14,1.43,0,1
2024-07-30,alimentos,464,13.47,14,2.13,0,1
2024-07-31,alimentos,455,20.25,14,0.27,0,1
2024-08-01,alimentos,440,17.68,14,0.0,0,1
2024-08-02,alimentos,431,18.46,14,0.0,0,1
2024-08-03,alimentos,405,25.11,14,0.15,0,1
2024-08-04,alimentos,391,22.79,14,0.0,0,1
2024-08-05,alimentos,369,26.79,14,0.0,0,1
2024-08-06,alimentos,716,19.33,14,0.0,0,1
2024-08-07,alimentos,700,16.62,14,2.28,0,1
2024-08-08,alimentos,683,18.98,14,1.2,0,1
2024-08-09,alimentos,678,21.31,14,0.0,0,1
2024-08-10,alimentos,671,20.98,14,0.0,0,1
2024-08-11,alimentos,666,14.68,14,0.0,0,1
2024-08-12,alimentos,656,20.55,14,1.05,0,1
2024-08-13,alimentos,638,21.24,14,0.0,0,1
2024-08-14,alimentos,614,32.69,14,0.38,0,1
2024-08-15,alimentos,608,29.48,14,1.86,0,1
2024-08-16,alimentos,601,15.83,14,1.34,0,1
2024-08-17,alimentos,597,18.66,14,0.0,0,1
2024-08-18,alimentos,576,12.78,14,3.66,0,1
2024-08-19,alimentos,563,17.15,14,0.0,0,1
2024-08-20,alimentos,537,21.68,14,0.81,0,1
2024-08-21,alimentos,523,26.13,14,0.0,0,1
2024-08-22,alimentos,511,16.45,14,0.15,0,1
2024-08-23,alimentos,504,16.83,14,2.19,0,1
2024-08-24,alimentos,490,9.36,14,1.84,0,1
2024-08-25,alimentos,478,19.29,14,0.0,0,1
2024-08-26,alimentos,473,14.79,14,0.0,0,1
2024-08-27,alimentos,449,17.45,14,2.2,0,1
2024-08-28,alimentos,449,15.72,14,0.0,0,1
2024-08-29,alimentos,428,19.63,14,0.0,0,1
2024-08-30,alimentos,412,11.31,14,1.23,0,1
2024-08-31,alimentos,402,12.76,14,2.48,0,1
2024-09-01,alimentos,385,30.75,14,2.23,0,1
2024-09-02,alimentos,377,13.66,14,0.0,0,1
2024-09-03,alimentos,593,14.62,14,0.0,0,1
2024-09-04,alimentos,589,29.28,14,0.0,0,1
2024-09-05,alimentos,584,34.63,14,0.0,0,1
2024-09-06,alimentos,567,14.24,14,0.0,0,1
2024-09-07,alimentos,559,18.26,14,3.27,0,1
2024-09-08,alimentos,555,21.81,14,0.31,0,1
2024-09-09,alimentos,544,28.74,14,0.0,0,1
2024-09-10,alimentos,527,15.17,14,1.26,0,1
2024-09-11,alimentos,520,18.87,14,0.2,0,1
2024-09-12,alimentos,505,23.99,14,2.22,0,1
2024-09-13,alimentos,495,22.27,14,0.0,0,1
2024-09-14,alimentos,482,18.22,14,0.0,0,1
2024-09-15,alimentos,481,19.43,14,0.59,0,1
2024-09-16,alimentos,471,13.23,14,1.92,0,1
2024-09-17,alimentos,466,18.91,14,0.0,0,1
2024-09-18,alimentos,458,18.77,14,0.0,0,1
2024-09-19,alimentos,449,21.26,14,1.57,0,1
2024-09-20,alimentos,435,17.32,14,1.11,0,1
2024-09-21,alimentos,425,22.46,14,0.66,0,1
2024-09-22,alimentos,417,25.16,14,0.72,0,1
2024-09-23,alimentos,410,20.88,14,0.62,0,1
2024-09-24,alimentos,388,21.86,14,3.26,0,1
2024-09-25,alimentos,371,20.37,14,0.98,0,1
2024-09-26,alimentos,828,20.1,14,0.17,0,1
2024-09-27,alimentos,819,16.49,14,0.0,0,1
2024-09-28,alimentos,807,21.68,14,0.0,0,1
2024-09-29,alimentos,802,19.61,14,1.67,0,1
2024-09-30,alimentos,793,30.57,14,2.04,0,1
2024-10-01,alimentos,780,27.97,14,0.0,0,1
2024-10-02,alimentos,764,22.03,14,2.33,0,1
2024-10-03,alimentos,754,16.28,14,0.32,0,1
2024-10-04,alimentos,740,14.54,14,5.27,0,1
2024-10-05,alimentos,726,26.06,14,3.0,0,1
2024-10-06,alimentos,718,21.41,14,0.19,0,1
2024-10-07,alimentos,711,22.5,14,0.0,0,1
2024-10-08,alimentos,700,11.38,14,0.0,0,1
2024-10-09,alimentos,691,24.74,14,0.0,0,1
2024-10-10,alimentos,679,22.37,14,4.13,0,1
2024-10-11,alimentos,667,14.55,14,0.0,0,1
2024-10-12,alimentos,658,17.74,14,0.97,0,1
2024-10-13,alimentos,644,21.42,14,0.24,0,1
2024-10-14,alimentos,637,20.36,14,0.14,0,1
2024-10-15,alimentos,628,18.64,14,0.0,0,1
2024-10-16,alimentos,610,19.58,14,3.45,0,1
2024-10-17,alimentos,601,18.84,14,2.25,0,1
2024-10-18,alimentos,597,20.86,14,0.0,0,1
2024-10-19,alimentos,583,27.46,14,0.0,0,1
2024-10-20,alimentos,579,7.27,14,2.15,0,1
2024-10-21,alimentos,578,18.92,14,2.68,0,1
2024-10-22,alimentos,571,20.98,14,0.0,0,1
2024-10-23,alimentos,558,21.58,14,0.0,0,1
2024-10-24,alimentos,546,18.24,14,2.73,0,1
2024-10-25,alimentos,537,11.32,14,1.81,0,1
2024-10-26,alimentos,520,21.74,14,0.54,0,1
2024-10-27,alimentos,501,28.74,14,1.68,0,1
2024-10-28,alimentos,491,12.43,14,0.05,0,1
2024-10-29,alimentos,476,24.42,14,0.0,0,1
2024-10-30,alimentos,467,18.46,14,2.68,0,1
2024-10-31,alimentos,454,19.79,14,0.0,0,1
2024-11-01,alimentos,439,14.84,14,0.0,0,1
2024-11-02,alimentos,419,18.43,14,3.95,0,1
2024-11-03,alimentos,396,26.6,14,0.0,0,1
2024-11-04,alimentos,384,23.01,14,3.89,0,1
2024-11-05,alimentos,378,28.76,14,0.91,0,1
2024-11-06,alimentos,667,25.99,14,0.57,0,1
2024-11-07,alimentos,654,22.3,14,1.6,0,1
2024-11-08,alimentos,633,28.82,14,2.23,0,1
2024-11-09,alimentos,610,22.29,14,3.28,0,1
2024-11-10,alimentos,591,24.24,14,0.11,0,1
2024-11-11,alimentos,571,18.62,14,1.45,0,1
2024-11-12,alimentos,564,20.43,14,0.0,0,1
2024-11-13,alimentos,549,16.61,14,0.0,0,1
2024-11-14,alimentos,534,25.05,14,0.8,0,1
2024-11-15,alimentos,519,14.21,14,2.03,0,1
2024-11-16,alimentos,502,24.01,14,0.0,0,1
2024-11-17,alimentos,485,19.15,14,0.0,0,1
2024-11-18,alimentos,471,25.96,14,0.0,0,1
2024-11-19,alimentos,450,23.85,14,0.0,0,1
2024-11-20,alimentos,444,29.2,14,3.13,0,1
2024-11-21,alimentos,437,23.75,14,0.0,0,1
2024-11-22,alimentos,427,12.24,14,1.55,0,1
2024-11-23,alimentos,405,19.77,14,2.82,0,1
2024-11-24,alimentos,386,14.24,14,0.0,0,1
2024-11-25,alimentos,373,17.51,14,3.27,0,1
2024-11-26,alimentos,697,27.66,14,1.71,0,1
2024-11-27,alimentos,678,23.29,14,0.0,0,1
2024-11-28,alimentos,666,16.61,14,0.0,0,1
2024-11-29,alimentos,649,15.03,14,0.0,0,1
2024-11-30,alimentos,645,20.26,14,0.03,0,1
2024-12-01,alimentos,619,14.02,14,1.34,0,1
2024-12-02,alimentos,606,16.74,14,0.0,0,1
2024-12-03,alimentos,588,21.66,14,1.28,0,1
2024-12-04,alimentos,571,25.88,14,0.9,0,1
2024-12-05,alimentos,558,23.14,14,0.0,0,1
2024-12-06,alimentos,539,8.64,14,1.29,0,1
2024-12-07,alimentos,526,21.62,14,2.7,0,1
2024-12-08,alimentos,513,20.46,14,0.07,0,1
2024-12-09,alimentos,487,22.17,14,2.02,0,1
2024-12-10,alimentos,460,28.18,14,0.0,0,1
2024-12-11,alimentos,454,9.78,14,3.63,0,1
2024-12-12,alimentos,442,17.14,14,1.76,0,1
2024-12-13,alimentos,422,23.05,14,1.96,0,1
2024-12-14,alimentos,406,12.19,14,0.0,0,1
2024-12-15,alimentos,389,27.48,14,1.97,0,1
2024-12-16,alimentos,367,21.94,14,1.38,0,1
2024-12-17,alimentos,837,24.33,14,2.04,0,1
2024-12-18,alimentos,825,17.25,14,3.16,0,1
2024-12-19,alimentos,812,24.17,14,0.0,0,1
2024-12-20,alimentos,795,25.44,14,3.16,0,1
2024-12-21,alimentos,778,21.26,14,2.09,0,1
2024-12-22,alimentos,768,21.27,14,0.0,0,1
2024-12-23,alimentos,746,21.45,14,3.87,0,1
2024-12-24,alimentos,728,15.78,14,0.0,0,1
2024-12-25,alimentos,704,19.36,14,0.99,0,1
2024-12-26,alimentos,693,19.34,14,1.07,0,1
2024-12-27,alimentos,674,22.02,14,0.0,0,1
2024-12-28,alimentos,658,25.1,14,2.32,0,1
2024-12-29,alimentos,647,14.81,14,0.0,0,1
2024-12-30,alimentos,624,19.47,14,0.0,0,1
2024-01-01,alimentos,843,27.51,8,0.0,0,1
2024-01-02,alimentos,824,16.38,8,0.0,0,1
2024-01-03,alimentos,802,15.99,8,0.0,0,1
2024-01-04,alimentos,781,21.51,8,2.57,1,1
2024-01-05,alimentos,764,24.32,8,0.0,0,1
2024-01-06,alimentos,744,20.16,8,1.28,0,1
2024-01-07,alimentos,726,26.74,8,0.0,0,1
2024-01-08,alimentos,713,24.38,8,2.75,0,1
2024-01-09,alimentos,690,24.31,8,0.55,0,1
2024-01-10,alimentos,655,22.87,8,0.0,0,1
2024-01-11,alimentos,631,31.74,8,1.76,0,1
2024-01-12,alimentos,616,19.07,8,0.0,0,1
2024-01-13,alimentos,591,10.48,8,1.93,1,1
2024-01-14,alimentos,568,28.12,8,1.24,0,1
2024-01-15,alimentos,548,17.81,8,0.0,0,1
2024-01-16,alimentos,527,20.64,8,0.33,0,1
2024-01-17,alimentos,508,26.65,8,0.0,0,1
2024-01-18,alimentos,478,12.09,8,0.07,0,1
2024-01-19,alimentos,452,13.84,8,0.31,0,1
2024-01-20,alimentos,421,12.09,8,0.0,0,1
2024-01-21,alimentos,393,16.13,8,1.18,0,1
2024-01-22,alimentos,378,22.7,8,0.0,1,1
2024-01-23,alimentos,349,22.72,8,0.0,0,1
2024-01-24,alimentos,329,21.48,8,0.0,0,1
2024-01-25,alimentos,303,13.04,8,0.0,0,1
2024-01-26,alimentos,523,8.55,8,4.49,0,1
2024-01-27,alimentos,505,20.37,8,0.52,0,1
2024-01-28,alimentos,488,18.14,8,1.33,1,1
2024-01-29,alimentos,467,22.4,8,3.46,0,1
2024-01-30,alimentos,442,23.61,8,6.05,0,1
2024-01-31,alimentos,422,20.79,8,0.0,0,1
2024-02-01,alimentos,397,23.9,8,0.0,0,1
2024-02-02,alimentos,378,21.65,8,0.0,1,1
2024-02-03,alimentos,357,22.75,8,0.28,0,1
2024-02-04,alimentos,336,16.58,8,0.0,0,1
2024-02-05,alimentos,310,19.2,8,3.2,0,1
2024-02-06,alimentos,745,21.08,8,1.59,0,1
2024-02-07,alimentos,713,24.2,8,0.17,0,1
2024-02-08,alimentos,685,18.13,8,0.0,0,1
2024-02-09,alimentos,651,22.71,8,3.47,0,1
2024-02-10,alimentos,627,18.77,8,0.0,0,1
2024-02-11,alimentos,604,19.51,8,4.06,0,1
2024-02-12,alimentos,579,24.25,8,0.0,0,1
2024-02-13,alimentos,549,10.13,8,0.74,0,1
2024-02-14,alimentos,510,13.62,8,0.0,0,1
2024-02-15,alimentos,482,12.69,8,3.01,0,1
2024-02-16,alimentos,458,8.43,8,0.0,0,1
2024-02-17,alimentos,432,16.71,8,2.15,0,1
2024-02-18,alimentos,409,23.85,8,3.36,0,1
2024-02-19,alimentos,378,18.68,8,0.0,0,1
2024-02-20,alimentos,343,21.09,8,2.46,0,1
2024-02-21,alimentos,322,25.55,8,3.48,0,1
2024-02-22,alimentos,652,26.74,8,1.46,0,1
2024-02-23,alimentos,622,19.75,8,1.77,0,1
2024-02-24,alimentos,602,26.87,8,1.37,0,1
2024-02-25,alimentos,572,20.56,8,0.73,0,1
2024-02-26,alimentos,551,15.91,8,0.0,0,1
2024-02-27,alimentos,530,17.13,8,0.49,0,1
2024-02-28,alimentos,502,12.7,8,0.0,0,1
2024-02-29,alimentos,472,15.66,8,4.36,0,1
2024-03-01,alimentos,451,18.31,8,0.47,0,1
2024-03-02,alimentos,429,24.12,8,0.54,0,1
2024-03-03,alimentos,400,28.7,8,0.98,0,1
2024-03-04,alimentos,380,13.19,8,1.5,0,1
2024-03-05,alimentos,354,22.06,8,0.0,0,1
2024-03-06,alimentos,323,14.9,8,2.5,0,1
2024-03-07,alimentos,293,22.47,8,0.44,0,1
2024-03-08,alimentos,591,19.44,8,2.07,0,1
2024-03-09,alimentos,561,10.95,8,0.0,0,1
2024-03-10,alimentos,509,24.74,8,0.33,0,1
2024-03-11,alimentos,488,17.07,8,3.57,0,1
2024-03-12,alimentos,465,17.43,8,4.58,0,1
2024-03-13,alimentos,432,14.75,8,1.94,0,1
2024-03-14,alimentos,405,16.83,8,0.0,0,1
2024-03-15,alimentos,376,22.24,8,0.0,0,1
2024-03-16,alimentos,352,19.15,8,1.94,0,1
2024-03-17,alimentos,319,21.74,8,4.57,0,1
2024-03-18,alimentos,621,21.91,8,0.0,0,1
2024-03-19,alimentos,587,26.7,8,0.22,0,1
2024-03-20,alimentos,565,18.39,8,1.16,0,1
2024-03-21,alimentos,540,12.72,8,5.64,0,1
2024-03-22,alimentos,514,25.44,8,0.99,0,1
2024-03-23,alimentos,485,18.44,8,1.02,0,1
2024-03-24,alimentos,448,25.67,8,0.0,0,1
2024-03-25,alimentos,417,22.02,8,0.83,0,1
2024-03-26,alimentos,396,19.44,8,2.88,0,1
2024-03-27,alimentos,365,21.84,8,0.0,0,1
2024-03-28,alimentos,334,29.86,8,2.53,0,1
2024-03-29,alimentos,301,30.48,8,2.62,0,1
2024-03-30,alimentos,605,20.45,8,0.0,0,1
2024-03-31,alimentos,571,20.9,8,2.22,0,1
2024-04-01,alimentos,536,25.48,8,4.73,0,1
2024-04-02,alimentos,496,15.87,8,0.0,0,1
2024-04-03,alimentos,465,21.77,8,0.32,0,1
2024-04-04,alimentos,424,19.97,8,1.13,0,1
2024-04-05,alimentos,394,21.67,8,1.39,0,1
2024-04-06,alimentos,365,15.93,8,0.0,0,1
2024-04-07,alimentos,333,12.15,8,0.0,0,1
2024-04-08,alimentos,297,9.74,8,0.0,0,1
2024-04-09,alimentos,682,14.51,8,0.81,0,1
2024-04-10,alimentos,649,17.81,8,0.0,0,1
2024-04-11,alimentos,624,18.63,8,2.35,0,1
2024-04-12,alimentos,589,29.79,8,3.03,0,1
2024-04-13,alimentos,564,25.63,8,0.0,0,1
2024-04-14,alimentos,537,15.29,8,1.28,0,1
2024-04-15,alimentos,515,21.84,8,0.81,0,1
2024-04-16,alimentos,481,18.06,8,5.7,0,1
2024-04-17,alimentos,451,18.68,8,0.0,0,1
2024-04-18,alimentos,422,21.03,8,1.43,0,1
2024-04-19,alimentos,389,23.2,8,4.6,0,1
2024-04-20,alimentos,358,18.4,8,0.0,0,1
2024-04-21,alimentos,324,25.42,8,3.57,0,1
2024-04-22,alimentos,300,14.39,8,0.0,0,1
2024-04-23,alimentos,722,20.13,8,0.0,0,1
2024-04-24,alimentos,698,33.09,8,1.24,0,1
2024-04-25,alimentos,667,21.22,8,1.02,0,1
2024-04-26,alimentos,632,27.27,8,1.85,0,1
2024-04-27,alimentos,602,20.56,8,2.12,0,1
2024-04-28,alimentos,573,23.0,8,0.4,0,1
2024-04-29,alimentos,548,19.82,8,4.13,0,1
2024-04-30,alimentos,521,19.25,8,3.4,0,1
2024-05-01,alimentos,495,16.2,8,1.52,0,1
2024-05-02,alimentos,459,22.25,8,1.34,0,1
2024-05-03,alimentos,433,15.84,8,2.99,0,1
2024-05-04,alimentos,403,23.43,8,0.71,0,1
2024-05-05,alimentos,380,25.53,8,0.0,0,1
2024-05-06,alimentos,348,21.93,8,0.42,0,1
2024-05-07,alimentos,324,18.67,8,0.0,0,1
2024-05-08,alimentos,296,22.37,8,0.91,0,1
